product	surface_type	scope	path
trae	instructions	project	.trae/rules
trae	mcp	project	.trae/mcp.json
trae-cn	skills	user	~/.trae-cn/skills
trae-cn	skills	project	.trae/skills
trae-cn	instructions	project	.trae/rules
trae-cn	mcp	project	.trae/mcp.json
visual-studio	skills	user	~/.copilot/skills
visual-studio	skills	project	.github/skills
visual-studio	instructions	project	.github/copilot-instructions.md
visual-studio	mcp	user	{'darwin': '', 'linux': '', 'windows': '%USERPROFILE%\\.mcp.json'}
visual-studio	mcp	project	.mcp.json
void-editor	instructions	project	.voidrules
void-editor	mcp	user	~/.void-editor/mcp.json
void-editor	mcp	project	.vscode/mcp.json
vscode	skills	user	~/.copilot/skills
vscode	skills	project	.github/skills
vscode	instructions	project	.github/copilot-instructions.md
vscode	mcp	project	.vscode/mcp.json
windsurf	skills	user	~/.codeium/windsurf/skills
windsurf	skills	project	.windsurf/skills
windsurf	instructions	project	.windsurf/rules
windsurf	mcp	user	~/.codeium/windsurf/mcp_config.json
workbuddy	mcp	user	~/.workbuddy/mcp.json
workbuddy	mcp	project	.workbuddy/mcp.json
zcode	skills	user	~/.zcode/skills
zcode	instructions	project	AGENTS.md
zcode	mcp	user	~/.zcode/cli/config.json
zcode	mcp	project	.zcode/config.json
zcode	instructions	project	.zcode/config.json
zcode	instructions	user	~/.zcode/cli/config.json
zed	skills	user	~/.agents/skills
zed	skills	project	.agents/skills
zed	instructions	project	AGENTS.md
zed	mcp	user	~/.config/zed/settings.json
zed	mcp	project	.zed/settings.json
